,titles,publishers,authors,years
349,The cleanest race : how North Koreans see themselves--and why it matters,"Brooklyn, N.Y. : Melville House c2010",B.R. Myers,2010
350,Encountering development : the making and unmaking of the third world,"Princeton, N.J. : Princeton University Press 1995",Arturo Escobar,1995
351,The new peoplemaking,"Mountain View, Calif. : Science and Behavior Books c1988",by Virginia Satir,1988
352,下一個十年 : 香港的光榮年代?,香港 : 牛津大學出版社 2008,陳冠中,2008
353,The social dynamics of family violence,"Second edition Boulder, CO : Westview Press 2017","Angela Hattery, George Mason University, Earl Smith, Wake Forest University",2017
354,The first decade : the Hong Kong SAR in retrospective and introspective perspectives,Hong Kong : Chinese University Press c2007,edited by Yue-man Yeung,2007
355,The social dynamics of family violence,"Boulder, Colo. : Westview Press c2012",Angela Hattery and Earl Smith,2012
356,The archaeology of early China : from prehistory to the Han Dynasty,"New York, NY : Cambridge University Press 2015",Gideon Shelach-Lavi,2015
357,政治學新論 : 西方學理與中華經驗,香港 : 中文大學出版社 c1997,"鄭宇碩, 羅金義編",1997
358,At the bottom of the river,"1st Farrar, Straus and Giroux pbk. ed New York : Farrar, Straus and Giroux 2000",Jamaica Kincaid,2000
359,Politics,"4th ed Houndmills, Basingstoke, Hampshire : New York : Palgrave Macmillan 2013",Andrew Heywood,2013
360,China's third revolution : tensions in the transition towards a post-communist China,Richmond : Curzon 2001,Ian G. Cook and Geoffrey Murray,2001
361,Writing ethnographic fieldnotes,Chicago : University of Chicago Press 1995,"Robert M. Emerson, Rachel I. Fretz, Linda L. Shaw",1995
362,Understanding crime data : haunted by the dark figure,Buckingham ; Philadelphia : Open University Press 1996,"Clive Coleman, Jenny Moynihan",1996
363,Development studies,"Cambridge, UK : Polity 2008",Jeffrey Haynes,2008
364,Politics,3rd ed Basingstoke : Palgrave Macmillan 2007,Andrew Heywood,2007
365,動物化するポストモダン : オタクから見た日本社会,東京 : 講談社 2001,東浩紀,2001
366,"The rise of the creative class : and how it's transforming work, leisure, community and everyday life","New York, NY : Basic Books 2002",Richard Florida,2002
367,日本の広場,"復刻版, 第1版 東京 : 彰国社 2009",都市デザイン研究体編著,2009
368,Artisans in early imperial China,Seattle : University of Washington Press : Published with the assistance of the Getty Foundation c2007,Anthony J. Barbieri-Low,2007
369,The globalization and development reader : perspectives on development and global change,"Malden, Mass. : Blackwell Publishing 2007",edited by J. Timmons Roberts and Amy Bellone Hite,2007
370,Understanding cultural geography : places and traces,London ; New York : Routledge 2010,Jon Anderson,2010
371,Youth & crime,"3rd ed London ; Thousand Oaks, CA : SAGE c2009",John Muncie,2009
372,政治學新探 : 中華經驗與西方學理,香港 : 中文大學出版社 c2009,"鄭宇碩, 羅金義編著",2009
373,動物化的後現代 : 御宅族如何影響日本社會,初版 台北市 : 大鴻藝術 2012,東浩紀作 ; 褚炫初譯,2012
374,當代政治學十講 = Ten lectures on contemporary political science,香港 : 香港中文大學出版社 2016,閻小駿著,2016
375,Birth and fortune : the impact of numbers on personal welfare,2nd ed Chicago : University of Chicago Press 1987,Richard A. Easterlin,1987
376,Program evaluation : alternative approaches and practical guidelines,3rd ed Boston : Pearson/Allyn and Bacon c2004,"Jody L. Fitzpatrick, James R. Sanders, Blaine R. Worthen",2004
377,"Democracy in America / translated, edited, and with an introduction by Harvey C. Mansfield and Delba Winthrop",Chicago : University of Chicago Press 2000,,2000
378,Theorising welfare : enlightenment and modern society,London : Sage 1998,Martin O'Brien and Sue Penna,1998
379,"Wives, husbands, and lovers : marriage and sexuality in Hong Kong, Taiwan, and urban China","Stanford, California : Stanford University Press 2014",edited by Deborah S. Davis and Sara L. Friedman,2014
380,"Natural-born cyborgs : minds, technologies, and the future of human intelligence",Oxford ; Hong Kong : Oxford University Press 2003,Andy Clark,2003
381,"Daoist modern : innovation, lay practice, and the community of inner alchemy in Republican Shanghai","Cambridge, Mass. : Harvard University Asia Center : Distributed by Harvard University Press 2009",Xun Liu,2009
382,"Statesmen and gentlemen : the elite of Fu-Chou, Chiang-Hsi, in Northern and Southern Sung",Cambridge : Cambridge University Press 1986,Robert P. Hymes,1986
383,Managing cultural landscapes,London ; New York : Routledge 2012,edited by Ken Taylor and Jane L. Lennon,2012
384,"Work, consumerism and the new poor",Buckingham ; Philadelphia : Open University Press 1998,Zygmunt Bauman,1998
385,Measuring environment across the life span : emerging methods and concepts,"1st ed Washington, D.C. : American Psychological Association c1999",edited by Sarah L. Friedman and Theodore D. Wachs,1999
386,Orphan warriors : three Manchu generations and the end of the Qing world,"Princeton, N.J. : Princeton University Press c1990",Pamela Kyle Crossley,1990
387,The political economy of Japanese globalization,London ; New York : Routledge 2001,edited by Glenn D. Hook and Hasegawa Harukiyo,2001
388,"The birth of the museum : history, theory, politics",London : Routledge 1995,Tony Bennett,1995
389,原初的激情 : 視覺、性慾、民族誌與中國當代電影,初版 台北市 : 遠流出版事業股份有限公司 2001,周蕾(Rey Chow)著 ; 孫紹誼譯,2001
390,ゼロ年代の想像力,再版 東京 : 早川書房 2008,宇野常寛,2008
391,人間佛教的社會和政治參與 : 太虛和星雲如是說、如是行,初版 香港 : 香港中文大學文化及宗教研究系人間佛教研究中心 2005,學愚,2005
392,Men and masculinities in contemporary Japan : dislocating the salaryman doxa,London ; New York : Routledge 2003,edited by James E. Roberson and Nobue Suzuki,2003
393,Writing literature reviews : a guide for students of the social and behavioral sciences,"4th ed Glendale, CA : Pyrczak c2009",Jose L. Galvan,2009
394,How to do educational ethnography,London : Tufnell Press c2008,edited by Geoffrey Walford,2008
395,Effective writing : a guide for social science students,Hong Kong : Chinese University Press c2003,Pedro Pak-tao Ng,2003
396,Tort law and social morality,Cambridge ; New York : Cambridge University Press 2010,Peter M. Gerhart,2010
397,江戶東京のみかた調べかた,東京 : 鹿島出版会 1989,陣内秀信 ; 法政大学・東京のまち研究会,1989
398,中國文人的非正常死亡,初版 台北市 : 究竟出版社股份有限公司 2003,李國文著,2003
399,東京の空間人類学,東京 : 筑摩書房 1992,陣内秀信,1992
