,year,cuhk
321,2008,21
322,2008,21
323,2008,21
324,2008,21
325,2008,21
326,2008,21
327,2008,21
328,2008,21
329,2008,21
330,2008,21
331,2008,21
332,2008,21
333,2008,21
334,2008,21
335,2008,21
336,2008,21
337,2008,21
338,2008,21
339,2008,21
340,2009,19
341,2009,19
342,2009,19
343,2009,19
344,2009,19
345,2009,19
346,2009,19
347,2009,19
348,2009,19
349,2009,19
350,2009,19
351,2009,19
352,2009,19
353,2009,19
354,2009,19
355,2009,19
356,2009,19
357,2009,19
358,2009,19
359,2010,20
360,2010,20
361,2010,20
362,2010,20
363,2010,20
364,2010,20
365,2010,20
366,2010,20
367,2010,20
368,2010,20
369,2010,20
370,2010,20
371,2010,20
372,2010,20
373,2010,20
374,2010,20
375,2010,20
376,2010,20
377,2010,20
378,2010,20
379,2011,28
380,2011,28
381,2011,28
382,2011,28
383,2011,28
384,2011,28
385,2011,28
386,2011,28
387,2011,28
388,2011,28
389,2011,28
390,2011,28
391,2011,28
392,2011,28
393,2011,28
394,2011,28
395,2011,28
396,2011,28
397,2011,28
398,2011,28
399,2011,28
400,2011,28
401,2011,28
402,2011,28
403,2011,28
404,2011,28
405,2011,28
406,2011,28
407,2012,30
408,2012,30
409,2012,30
410,2012,30
411,2012,30
412,2012,30
413,2012,30
414,2012,30
415,2012,30
416,2012,30
417,2012,30
418,2012,30
419,2012,30
420,2012,30
421,2012,30
422,2012,30
423,2012,30
424,2012,30
425,2012,30
426,2012,30
427,2012,30
428,2012,30
429,2012,30
430,2012,30
431,2012,30
432,2012,30
433,2012,30
434,2012,30
435,2012,30
436,2012,30
437,2013,26
438,2013,26
439,2013,26
440,2013,26
441,2013,26
442,2013,26
443,2013,26
444,2013,26
445,2013,26
446,2013,26
447,2013,26
448,2013,26
449,2013,26
450,2013,26
451,2013,26
452,2013,26
453,2013,26
454,2013,26
455,2013,26
456,2013,26
457,2013,26
458,2013,26
459,2013,26
460,2013,26
461,2013,26
462,2013,26
463,2014,20
464,2014,20
465,2014,20
466,2014,20
467,2014,20
468,2014,20
469,2014,20
470,2014,20
471,2014,20
472,2014,20
473,2014,20
474,2014,20
475,2014,20
476,2014,20
477,2014,20
478,2014,20
479,2014,20
480,2014,20
481,2014,20
482,2014,20
483,2015,16
484,2015,16
485,2015,16
486,2015,16
487,2015,16
488,2015,16
489,2015,16
490,2015,16
491,2015,16
492,2015,16
493,2015,16
494,2015,16
495,2015,16
496,2015,16
497,2015,16
498,2015,16
499,2016,18
500,2016,18
501,2016,18
502,2016,18
503,2016,18
504,2016,18
505,2016,18
506,2016,18
507,2016,18
508,2016,18
509,2016,18
510,2016,18
511,2016,18
512,2016,18
513,2016,18
514,2016,18
515,2016,18
516,2016,18
517,2017,12
518,2017,12
519,2017,12
520,2017,12
521,2017,12
522,2017,12
523,2017,12
524,2017,12
525,2017,12
526,2017,12
527,2017,12
528,2017,12
529,2018,3
530,2018,3
531,2018,3
